system:index,class_name,label,lat,lon,run_tag,sample_id,season,tile_id,unique_id,weight,.geo
0_1_1,healthy,0,30.681509371460198,75.54624926929829,rabi_2023_24,0_1_1,2023-11-01_to_2024-04-15,0,sample_0_1_1,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,healthy,0,30.664441381061927,75.56978512974221,rabi_2023_24,0_1_6,2023-11-01_to_2024-04-15,0,sample_0_1_6,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_10,healthy,0,30.70917748221108,75.54103904065039,rabi_2023_24,0_1_10,2023-11-01_to_2024-04-15,0,sample_0_1_10,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_16,healthy,0,30.682228023687493,75.43306154349922,rabi_2023_24,0_1_16,2023-11-01_to_2024-04-15,0,sample_0_1_16,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_19,healthy,0,30.612698420696642,75.4253360320558,rabi_2023_24,0_1_19,2023-11-01_to_2024-04-15,0,sample_0_1_19,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_33,healthy,0,30.6274307913562,75.5764326628447,rabi_2023_24,0_1_33,2023-11-01_to_2024-04-15,0,sample_0_1_33,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_34,healthy,0,30.649170021231892,75.526127006934,rabi_2023_24,0_1_34,2023-11-01_to_2024-04-15,0,sample_0_1_34,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_37,healthy,0,30.690312861244568,75.42282074926025,rabi_2023_24,0_1_37,2023-11-01_to_2024-04-15,0,sample_0_1_37,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_40,healthy,0,30.628329106640322,75.58218188066306,rabi_2023_24,0_1_40,2023-11-01_to_2024-04-15,0,sample_0_1_40,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_42,healthy,0,30.682228023687493,75.39730859519126,rabi_2023_24,0_1_42,2023-11-01_to_2024-04-15,0,sample_0_1_42,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_46,healthy,0,30.678994088664663,75.48067225355756,rabi_2023_24,0_1_46,2023-11-01_to_2024-04-15,0,sample_0_1_46,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_47,healthy,0,30.697499383517524,75.53439150754791,rabi_2023_24,0_1_47,2023-11-01_to_2024-04-15,0,sample_0_1_47,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_49,healthy,0,30.692468817926454,75.6080533608457,rabi_2023_24,0_1_49,2023-11-01_to_2024-04-15,0,sample_0_1_49,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_54,healthy,0,30.68995353513092,75.59655492520898,rabi_2023_24,0_1_54,2023-11-01_to_2024-04-15,0,sample_0_1_54,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_57,healthy,0,30.62635281301526,75.47977393827344,rabi_2023_24,0_1_57,2023-11-01_to_2024-04-15,0,sample_0_1_57,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_59,healthy,0,30.68474330648303,75.6012261646864,rabi_2023_24,0_1_59,2023-11-01_to_2024-04-15,0,sample_0_1_59,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_60,healthy,0,30.668393968312053,75.55145949794617,rabi_2023_24,0_1_60,2023-11-01_to_2024-04-15,0,sample_0_1_60,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_62,healthy,0,30.630305400265385,75.59403964241343,rabi_2023_24,0_1_62,2023-11-01_to_2024-04-15,0,sample_0_1_62,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_70,healthy,0,30.711333438892964,75.51193362544491,rabi_2023_24,0_1_70,2023-11-01_to_2024-04-15,0,sample_0_1_70,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_71,healthy,0,30.70881815609743,75.43395985878334,rabi_2023_24,0_1_71,2023-11-01_to_2024-04-15,0,sample_0_1_71,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_74,healthy,0,30.669831272766643,75.46935348097765,rabi_2023_24,0_1_74,2023-11-01_to_2024-04-15,0,sample_0_1_74,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_76,healthy,0,30.63659360725422,75.60463976276606,rabi_2023_24,0_1_76,2023-11-01_to_2024-04-15,0,sample_0_1_76,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_84,healthy,0,30.696241742119756,75.62170775316432,rabi_2023_24,0_1_84,2023-11-01_to_2024-04-15,0,sample_0_1_84,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_86,healthy,0,30.71295040640438,75.6184738181415,rabi_2023_24,0_1_86,2023-11-01_to_2024-04-15,0,sample_0_1_86,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_91,healthy,0,30.714028384745323,75.43144457598781,rabi_2023_24,0_1_91,2023-11-01_to_2024-04-15,0,sample_0_1_91,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_95,healthy,0,30.59473211501425,75.40072219327092,rabi_2023_24,0_1_95,2023-11-01_to_2024-04-15,0,sample_0_1_95,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_97,healthy,0,30.647732716777302,75.50798103819479,rabi_2023_24,0_1_97,2023-11-01_to_2024-04-15,0,sample_0_1_97,0.10000000149011612,"{""type"":""MultiPoint"",""coordinates"":[]}"
